nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalite_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,smoker_num,sexe_num,sport_licence_num,nationalite_francaise_num,orientation_sexuelle_num,niveau_etude_num,region_num
Sparks,Lee,61,162.9,54.9,F,non,bac+2,Corse,oui,non,het,3,323.8,2508.0,veuf,4.0,0.28,2022-10-09,837.0,932.9399999999999,500.0,1,1,0,0,1,3,8
Rangel,Lisa,22,176.4,48.0,F,oui,bac+2,Bretagne,non,non,het,1,5.9,3237.0,divorcé,2.0,0.15,2023-06-30,435.0,835.1560000000002,500.0,0,1,1,0,1,3,3
Morales,Allison,21,185.9,67.4,H,non,aucun,Auvergne-Rhône-Alpes,non,non,het,0,343.2,3758.0,veuf,2.0,0.69,2022-01-21,747.0,429.85,500.0,0,0,0,0,1,1,2
Smith,Michael,20,168.4,61.3,H,non,aucun,Occitanie,oui,oui,het,0,352.3,3781.0,veuf,1.0,0.18,2021-12-21,582.0,549.118,500.0,1,0,0,1,1,1,6
Banks,Jennifer,43,156.7,43.5,F,non,master,Occitanie,oui,oui,hom,3,246.5,2607.0,divorcé,2.0,0.08,2022-08-13,570.0,1006.6,14384.134432475044,1,1,0,1,0,4,6
Fisher,Michael,59,165.9,48.2,H,non,master,Corse,oui,oui,het,0,247.3,2086.0,divorcé,0.0,0.13,2023-10-19,571.0,1010.6119999999999,500.0,1,0,0,1,1,4,8
Gutierrez,Jennifer,39,193.4,71.1,F,non,bac,Bretagne,non,oui,het,2,217.1,877.0,marié,2.0,0.54,2021-02-12,430.0,728.1999999999999,5104.669103968065,0,1,0,1,1,2,3
Miller,Daniel,24,159.3,68.0,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,0,173.0,2188.0,veuf,4.0,0.31,2020-09-14,517.0,788.412,500.0,1,1,1,1,1,2,5
Crawford,Stacy,27,156.4,56.3,F,oui,bac,Corse,oui,oui,het,4,117.5,1452.0,marié,0.0,0.84,2022-06-29,560.0,702.142,500.0,1,1,1,1,1,2,8
Cooke,Mark,64,172.6,76.4,H,oui,doctorat,Normandie,oui,oui,het,0,452.5,4240.0,veuf,3.0,0.1,2024-12-09,408.0,758.836,20076.710615152388,1,0,1,1,1,5,7
White,Benjamin,71,167.7,72.0,H,oui,doctorat,Occitanie,non,non,het,0,332.7,4018.0,marié,0.0,0.61,2025-03-26,436.0,635.374,9787.450681057464,0,0,1,0,1,5,6
Collins,Stacy,41,151.5,58.3,F,non,bac,Bretagne,non,oui,het,1,288.5,3200.0,veuf,5.0,0.48,2021-07-05,578.0,856.008,13451.949076437062,0,1,0,1,1,2,3
Elliott,Regina,58,159.2,51.4,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,het,4,554.8,3510.0,célibataire,3.0,0.89,2022-10-13,575.0,826.1879999999999,3781.4490294781554,1,1,0,0,1,3,5
Edwards,Christopher,66,174.4,67.2,F,oui,aucun,Occitanie,non,oui,het,2,383.8,2302.0,divorcé,0.0,0.77,2022-07-03,560.0,939.366,3693.546074949823,0,1,1,1,1,1,6
Nolan,Andrea,58,161.4,95.5,F,non,bac+2,Hauts-de-France,non,non,het,3,171.7,2778.0,divorcé,1.0,0.22,2022-10-21,582.0,824.314,500.0,0,1,0,0,1,3,4
Robinson,Joseph,66,189.2,88.6,F,oui,bac+2,Corse,non,oui,het,2,256.2,4796.0,marié,5.0,0.51,2024-02-27,578.0,697.788,13019.752251067695,0,1,1,1,1,3,8
Grant,Ernest,41,168.6,69.1,H,non,master,Auvergne-Rhône-Alpes,oui,non,hom,0,360.7,4020.0,marié,0.0,0.74,2022-08-20,560.0,717.1600000000001,500.0,1,0,0,0,0,4,2
Hernandez,Amber,47,166.5,73.2,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,het,1,294.2,500.0,divorcé,1.0,0.8,2020-05-27,480.0,870.742,500.0,1,1,0,1,1,3,5
Hill,Stephen,66,161.5,76.0,H,oui,bac+2,Auvergne-Rhône-Alpes,non,non,het,0,309.6,789.0,veuf,3.0,0.88,2023-04-14,756.0,775.918,500.0,0,0,1,0,1,3,2
Lawson,Christina,61,180.7,75.4,H,oui,doctorat,Corse,non,non,het,1,377.0,2747.0,divorcé,2.0,0.2,2022-01-10,839.0,1111.12,899.2670081650382,0,0,1,0,1,5,8
Leonard,Claudia,63,168.1,73.6,F,non,bac,Occitanie,non,oui,het,2,299.3,2910.0,célibataire,1.0,0.96,2023-06-24,687.0,731.55,14812.435436480271,0,1,0,1,1,2,6
Miller,Jason,71,159.6,86.3,F,non,aucun,Corse,non,oui,het,2,442.3,2377.0,divorcé,4.0,0.58,2020-04-14,573.0,535.66,500.0,0,1,0,1,1,1,8
Wilson,Laura,63,169.0,61.7,H,non,bac+2,Occitanie,non,oui,het,1,264.6,653.0,veuf,1.0,0.05,2020-08-27,582.0,868.4040000000001,4245.059588698138,0,0,0,1,1,3,6
Jimenez,Monica,74,181.8,69.8,F,non,master,Normandie,non,oui,het,2,368.9,2620.0,célibataire,1.0,0.13,2024-12-29,582.0,840.2239999999999,16850.61187309268,0,1,0,1,1,4,7
Leach,Carolyn,71,193.80900000000003,67.3,H,oui,master,Corse,non,non,het,0,-10.0,2377.0,veuf,5.0,0.83,2020-03-03,434.0,718.9,500.0,0,0,1,0,1,4,8
Beasley,Kimberly,50,174.8,58.5,H,non,bac,Normandie,non,non,het,2,185.7,1539.0,célibataire,4.0,0.16,2022-07-07,573.0,896.6479999999999,500.0,0,0,0,0,1,2,7
Payne,Cory,31,174.4,47.1,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,het,2,441.2,2589.0,célibataire,2.0,0.42,2025-06-02,359.0,1067.25,28361.216717560765,0,1,0,1,1,5,5
Davis,Nicole,28,156.0,80.0,F,non,bac+2,Normandie,oui,oui,het,1,234.6,543.0,divorcé,2.0,0.22,2020-03-18,699.0,589.78,500.0,1,1,0,1,1,3,7
Hardy,Randy,37,184.0,68.0,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,het,3,186.1,1645.0,célibataire,2.0,0.36,2021-08-21,570.0,939.52,16779.477423165245,0,0,0,1,1,3,5
Mercado,Michael,32,163.1,60.3,H,non,aucun,Occitanie,oui,non,het,0,190.4,3378.0,marié,1.0,0.36,2021-02-07,352.0,790.78,500.0,1,0,0,0,1,1,6
Ellis,Alexander,71,178.8,72.4,H,non,bac,Île-de-France,non,oui,het,2,322.2,3935.0,divorcé,3.0,0.45,2021-11-06,707.0,799.8,30582.229512865797,0,0,0,1,1,2,1
Aguilar,Allison,73,154.6,73.7,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,het,1,206.2,3084.0,marié,1.0,0.56,2024-11-16,582.0,1267.42,500.0,1,1,1,1,1,1,5
Taylor,Heather,49,178.0,82.4,F,oui,doctorat,Bretagne,oui,oui,het,3,162.2,1898.0,marié,0.0,0.88,2024-12-04,560.0,655.22,27049.936870365764,1,1,1,1,1,5,3
Torres,Alyssa,29,180.5,57.7,H,non,aucun,Auvergne-Rhône-Alpes,non,non,het,4,109.6,2112.0,divorcé,0.0,0.75,2023-09-21,560.0,1015.7720000000002,500.0,0,0,0,0,1,1,2
Watts,Ronnie,40,171.8,68.9,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,0,324.8,2141.0,veuf,5.0,0.47,2025-02-10,578.0,778.9739999999999,500.0,1,1,0,1,1,2,5
Brown,Dana,35,188.7,56.3,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,het,2,187.4,1971.0,veuf,5.0,0.25,2022-02-11,578.0,751.568,19659.52989597216,1,0,0,1,1,5,5
Jackson,Kristin,40,165.7,70.6,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,het,0,375.7,3418.0,divorcé,0.0,0.12,2024-09-14,560.0,776.37,500.0,1,0,0,1,1,2,2
Gibson,Amy,52,172.1,60.1,F,oui,master,Auvergne-Rhône-Alpes,non,oui,het,4,345.7,2719.0,divorcé,1.0,0.88,2021-03-25,618.0,890.106,35037.39503704966,0,1,1,1,1,4,2
Guzman,Lawrence,41,156.8,68.6,F,oui,aucun,Hauts-de-France,oui,oui,het,0,106.9,1249.0,marié,5.0,0.73,2022-08-02,847.0,761.826,500.0,1,1,1,1,1,1,4
Callahan,Jeremiah,25,167.2,81.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,0,65.0,2988.0,divorcé,3.0,0.33,2025-03-15,575.0,479.63,500.0,0,1,1,0,1,1,2
Baxter,James,19,163.4,80.3,H,non,bac,Corse,non,oui,het,1,393.1,3507.0,marié,3.0,0.17,2024-12-01,742.0,802.7859999999998,3339.4071421091703,0,0,0,1,1,2,8
Medina,Theresa,34,179.9,74.5,H,non,bac+2,Hauts-de-France,non,oui,het,1,293.8,3333.0,marié,5.0,0.3,2025-05-13,578.0,933.3799999999999,11440.41558874762,0,0,0,1,1,3,4
Adams,Brian,34,181.4,91.6,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,1,243.1,5053.0,divorcé,4.0,0.9,2020-09-25,573.0,799.884,28059.26791132646,0,0,1,1,1,4,5
Lopez,Robert,64,160.5,63.4,H,oui,bac,Hauts-de-France,non,non,het,3,167.3,1629.0,célibataire,1.0,0.88,2023-05-14,582.0,678.6960000000001,500.0,0,0,1,0,1,2,4
Blake,Jasmin,20,166.6,74.9,H,non,doctorat,Auvergne-Rhône-Alpes,oui,non,het,1,200.7,3545.0,marié,5.0,0.43,2022-06-08,432.0,605.128,500.0,1,0,0,0,1,5,2
Massey,Alyssa,31,171.1,53.3,F,oui,master,Auvergne-Rhône-Alpes,non,non,het,4,172.0,1368.0,marié,5.0,0.53,2021-03-14,578.0,889.358,500.0,0,1,1,0,1,4,2
Jackson,Michael,57,153.9,65.3,F,non,aucun,Normandie,non,non,het,4,212.1,2968.0,veuf,0.0,0.5,2021-01-20,560.0,640.106,500.0,0,1,0,0,1,1,7
Roberts,Ricky,48,171.3,69.7,H,non,doctorat,Île-de-France,non,oui,het,2,168.1,1285.0,veuf,3.0,0.79,2023-01-21,654.0,952.1919999999998,28660.654900555084,0,0,0,1,1,5,1
Bentley,Stephen,26,164.2,70.7,F,oui,master,Bretagne,non,oui,het,2,117.0,1061.0,marié,5.0,0.72,2021-02-05,313.0,839.46,21639.31929549234,0,1,1,1,1,4,3
Finley,Zachary,22,150.9,63.0,H,oui,aucun,Île-de-France,oui,oui,hom,0,243.8,500.0,divorcé,3.0,0.9,2020-12-12,575.0,675.32,500.0,1,0,1,1,0,1,1
Hodge,Ryan,45,174.3,75.3,F,non,bac,Normandie,oui,oui,het,0,210.0,3838.0,célibataire,2.0,0.75,2021-12-12,706.0,744.336,500.0,1,1,0,1,1,2,7
Mckee,David,62,170.0,68.1,H,oui,bac+2,Bretagne,non,oui,het,3,496.5,2663.0,divorcé,4.0,0.03,2023-08-05,573.0,818.1099999999999,33214.03193970021,0,0,1,1,1,3,3
Stanley,Robert,30,187.1,81.3,H,non,aucun,Occitanie,oui,non,het,2,26.3,1491.0,célibataire,2.0,0.47,2023-11-26,570.0,436.93,500.0,1,0,0,0,1,1,6
Allen,Tyler,29,192.3,74.1,H,oui,bac,Auvergne-Rhône-Alpes,non,oui,het,0,263.5,2183.0,célibataire,1.0,0.1,2023-02-26,846.0,833.9979999999999,17288.094989211968,0,0,1,1,1,2,2
Morgan,Bryan,64,170.1,101.2,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,het,0,12.7,2485.0,célibataire,3.0,0.25,2025-03-12,368.0,830.8279999999999,500.0,0,1,1,1,1,2,5
Romero,Mark,63,167.8,80.5,F,non,master,Hauts-de-France,non,oui,het,2,218.6,2745.0,veuf,1.0,0.24,2021-09-28,651.0,1019.948,5384.587170852851,0,1,0,1,1,4,4
Robinson,Destiny,29,170.1,52.8,H,non,master,Hauts-de-France,oui,oui,het,0,312.4,1319.0,marié,3.0,0.33,2022-12-13,575.0,721.984,500.0,1,0,0,1,1,4,4
Moore,Tanner,75,169.6,62.1,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,non,het,2,255.1,4342.0,divorcé,0.0,0.13,2020-02-06,560.0,594.45,645.9904107965895,0,1,0,0,1,5,5
Smith,Pamela,42,181.1,70.7,F,oui,master,Hauts-de-France,oui,oui,hom,1,315.5,1868.0,divorcé,0.0,0.18,2024-08-27,560.0,859.234,500.0,1,1,1,1,0,4,4
Jenkins,Raven,58,166.4,75.2,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,0,173.3,2179.0,célibataire,4.0,0.96,2023-07-30,573.0,432.14,500.0,1,1,1,1,1,2,5
Campbell,Travis,65,148.5,59.7,H,non,bac,Bretagne,non,oui,het,2,371.0,739.0,veuf,3.0,0.26,2020-07-27,575.0,1109.18,16774.439422281055,0,0,0,1,1,2,3
Mendez,John,33,179.4,93.6,F,oui,master,Normandie,non,oui,hom,3,166.7,1698.0,marié,5.0,0.91,2021-09-23,575.0,814.616,23539.407542932902,0,1,1,1,0,4,7
James,Lauren,23,157.4,76.6,F,oui,bac,Normandie,non,non,het,3,188.1,2556.0,célibataire,2.0,0.99,2024-07-23,570.0,998.82,500.0,0,1,1,0,1,2,7
Mann,Christina,44,181.9,62.0,F,non,master,Normandie,oui,non,het,0,209.4,3979.0,marié,3.0,0.54,2021-07-07,575.0,707.128,500.0,1,1,0,0,1,4,7
West,Krista,42,165.4,81.4,F,non,aucun,Île-de-France,oui,non,het,1,335.2,2626.0,veuf,1.0,0.54,2022-10-04,582.0,1065.47,500.0,1,1,0,0,1,1,1
Camacho,Katherine,52,177.3,51.5,H,oui,bac+2,Normandie,oui,oui,het,3,257.1,2240.0,célibataire,4.0,0.57,2020-08-16,590.0,704.836,14516.221113864312,1,0,1,1,1,3,7
Peters,Kevin,35,169.9,65.5,H,oui,aucun,Normandie,oui,oui,het,1,338.0,654.0,veuf,4.0,0.94,2021-01-10,573.0,920.55,500.0,1,0,1,1,1,1,7
Hoffman,William,42,176.6,82.0,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,het,0,174.4,5329.0,marié,4.0,0.73,2023-04-21,582.0,709.3439999999999,500.0,0,1,1,0,1,1,5
Smith,Gary,41,167.1,73.7,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,2,269.5,679.0,veuf,3.0,0.88,2024-05-26,702.0,756.77,500.0,1,0,0,1,1,2,5
Armstrong,Dennis,24,170.2,92.9,F,non,bac,Auvergne-Rhône-Alpes,oui,non,het,0,184.3,537.0,veuf,4.0,0.56,2022-11-29,355.0,655.33,500.0,1,1,0,0,1,2,2
Weiss,Ann,44,168.6,47.9,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,het,3,247.0,1202.0,célibataire,5.0,0.75,2024-03-31,485.0,926.6460000000001,29158.540553640065,0,0,0,1,1,3,5
Harding,Amy,28,150.0,60.7,H,non,bac,Normandie,non,oui,het,0,114.1,2875.0,célibataire,3.0,0.9,2020-07-19,483.0,826.186,500.0,0,0,0,1,1,2,7
Jones,Deborah,22,172.2,71.3,F,oui,master,Île-de-France,non,oui,het,1,307.7,1774.0,veuf,4.0,0.29,2021-02-04,573.0,774.458,18130.79605409314,0,1,1,1,1,4,1
Oliver,Bradley,51,171.2,84.3,H,oui,bac,Île-de-France,oui,oui,het,1,232.5,1306.0,divorcé,5.0,0.73,2021-07-10,459.0,1224.92,500.0,1,0,1,1,1,2,1
Thompson,David,35,163.3,76.0,H,oui,aucun,Bretagne,oui,non,het,-1,349.2,3079.0,célibataire,0.0,0.23,2024-07-22,560.0,791.56,500.0,1,0,1,0,1,1,3
Watson,Monica,57,184.7,67.9,H,oui,bac,Normandie,non,oui,het,1,397.9,2729.0,célibataire,0.0,0.43,2020-09-08,560.0,1008.26,6520.441808137029,0,0,1,1,1,2,7
Taylor,Elizabeth,46,193.1,81.9,F,oui,doctorat,Hauts-de-France,oui,oui,het,0,96.4,2378.0,veuf,1.0,0.06,2024-09-02,391.0,637.856,500.0,1,1,1,1,1,5,4
Maxwell,Ryan,57,152.7,87.2,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,het,2,417.6,3167.0,marié,3.0,0.7,2020-06-14,575.0,857.292,47033.607034075794,0,0,1,1,1,5,5
Hughes,Nathan,35,161.4,48.0,H,non,doctorat,Normandie,oui,oui,het,1,-26.3,1562.0,veuf,2.0,0.31,2021-05-30,840.0,632.3399999999999,7062.468236450614,1,0,0,1,1,5,7
Phillips,Michael,52,175.2,60.9,F,non,aucun,Occitanie,non,oui,het,3,217.7,2657.0,divorcé,5.0,0.18,2021-06-10,578.0,900.7620000000001,500.0,0,1,0,1,1,1,6
Bennett,Hunter,57,171.1,86.2,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,het,2,214.0,2953.0,célibataire,0.0,0.9,2021-09-12,311.0,746.366,3636.953931629637,0,0,0,1,1,1,2
Olsen,Kimberly,20,166.5,50.7,H,non,master,Occitanie,non,non,het,3,388.8,5044.0,marié,3.0,0.64,2023-05-25,575.0,907.53,13427.096383313634,0,0,0,0,1,4,6
Hill,Arthur,72,184.3,67.3,H,non,doctorat,Île-de-France,non,oui,het,0,155.5,1493.0,veuf,2.0,0.22,2024-07-04,642.0,697.9939999999999,20129.93071725297,0,0,0,1,1,5,1
Marsh,Kristin,49,165.5,85.4,H,non,bac,Auvergne-Rhône-Alpes,non,oui,het,2,240.3,767.0,divorcé,2.0,0.35,2020-08-17,522.0,813.2,7181.990421288722,0,0,0,1,1,2,2
Chung,David,18,166.8,46.6,F,non,doctorat,Bretagne,oui,oui,het,5,171.0,536.0,divorcé,3.0,0.4,2020-08-19,575.0,777.746,25429.95401859597,1,1,0,1,1,5,3
Baker,Matthew,71,188.2,36.9,H,non,master,Bretagne,non,oui,het,2,319.4,4504.0,divorcé,0.0,0.49,2022-05-21,832.0,725.04,44783.9500596906,0,0,0,1,1,4,3
Bauer,Anthony,53,174.4,61.3,H,oui,master,Normandie,oui,oui,het,1,332.1,4158.0,divorcé,4.0,0.53,2020-02-07,679.0,970.5360000000001,16088.69832685581,1,0,1,1,1,4,7
Banks,Shelby,71,169.2,64.2,H,non,master,Corse,oui,oui,het,3,255.0,657.0,divorcé,2.0,0.14,2022-08-12,570.0,981.064,9855.705107337182,1,0,0,1,1,4,8
Vaughn,Sandra,70,166.0,62.2,F,oui,master,Île-de-France,oui,oui,het,0,366.6,2681.0,marié,5.0,0.92,2024-05-11,578.0,1068.498,5050.993511279376,1,1,1,1,1,4,1
Reed,Erica,48,168.8,58.3,F,non,aucun,Hauts-de-France,oui,oui,het,0,236.3,3469.0,célibataire,3.0,0.04,2025-02-03,627.0,823.924,500.0,1,1,0,1,1,1,4
Simon,Rhonda,54,166.1,57.3,F,non,aucun,Hauts-de-France,oui,non,het,0,278.3,2954.0,divorcé,1.0,0.61,2024-01-22,771.0,578.25,500.0,1,1,0,0,1,1,4
Dunn,Kiara,54,174.5,87.9,F,oui,aucun,Île-de-France,non,non,hom,0,385.4,1927.0,marié,3.0,0.22,2020-06-19,575.0,831.7560000000001,500.0,0,1,1,0,0,1,1
Dodson,Joseph,66,162.1,94.4,F,oui,master,Normandie,non,non,het,0,261.9,661.0,marié,1.0,0.24,2020-04-24,445.0,948.7620000000001,500.0,0,1,1,0,1,4,7
Mclaughlin,Kyle,65,170.1,61.9,H,oui,master,Normandie,oui,oui,het,2,201.4,3209.0,célibataire,2.0,0.28,2023-11-30,570.0,827.874,23043.59728309674,1,0,1,1,1,4,7
Hall,Daniel,51,160.3,80.0,H,oui,bac,Île-de-France,oui,non,het,1,244.6,2006.0,marié,5.0,0.83,2024-03-08,484.0,755.7160000000001,500.0,1,0,1,0,1,2,1
Gomez,Marco,68,174.9,66.2,F,oui,bac,Bretagne,non,oui,het,0,292.7,2628.0,marié,4.0,0.71,2021-10-01,573.0,822.152,4872.619890470138,0,1,1,1,1,2,3
Perez,Rodney,75,173.7,91.6,H,non,doctorat,Corse,non,oui,het,0,186.2,5313.0,divorcé,1.0,0.88,2024-05-01,365.0,709.3439999999999,18665.82973888772,0,0,0,1,1,5,8
Werner,Tracy,64,176.1,44.1,F,non,bac+2,Corse,non,non,het,1,391.5,2375.0,divorcé,4.0,0.04,2021-10-07,573.0,594.976,500.0,0,1,0,0,1,3,8
Herrera,Andrea,48,170.8,56.6,H,non,doctorat,Hauts-de-France,non,oui,het,0,179.6,2714.0,marié,1.0,0.02,2024-04-12,582.0,1102.21,16761.12307837128,0,0,0,1,1,5,4
Jones,Kimberly,38,159.9,70.2,F,oui,bac,Occitanie,non,non,hom,1,61.1,1871.0,veuf,1.0,0.67,2021-07-14,582.0,772.5919999999999,500.0,0,1,1,0,0,2,6
Chan,Sarah,75,166.7,73.3,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,1,218.3,5119.0,veuf,0.0,0.76,2023-11-23,708.0,260.35810000000004,21730.1037980072,1,0,1,1,1,2,5
Diaz,James,56,175.8,57.5,H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,het,3,248.5,2988.0,divorcé,5.0,0.42,2025-01-02,578.0,724.168,16788.31159504446,0,0,0,1,1,2,5
Harris,Katherine,18,172.8,72.8,F,oui,bac,Île-de-France,oui,oui,het,0,149.7,3272.0,divorcé,1.0,0.98,2021-05-07,582.0,815.704,500.0,1,1,1,1,1,2,1
Wright,Daniel,20,173.8,66.5,F,oui,doctorat,Normandie,non,non,het,3,284.5,2348.0,veuf,3.0,0.51,2022-09-21,575.0,965.32,10272.473001297143,0,1,1,0,1,5,7
Wolf,David,73,152.9,56.0,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,het,1,392.9,2927.0,veuf,3.0,0.51,2023-04-25,575.0,1069.634,500.0,1,1,0,0,1,5,5
Carter,Don,55,170.9,78.1,H,oui,aucun,Occitanie,non,oui,het,2,177.3,3219.0,marié,4.0,0.79,2024-03-23,803.0,988.42,29159.75396291384,0,0,1,1,1,1,6
Stark,Theresa,58,174.7,102.3,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,het,2,332.6,2430.0,célibataire,0.0,0.2,2020-10-06,392.0,378.79,500.0,0,1,0,0,1,1,5
Lynch,Jasmine,54,178.9,57.9,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,het,2,280.1,4279.0,veuf,3.0,0.01,2022-10-03,389.0,641.586,500.0,1,0,1,0,1,2,5
Johnson,Kenneth,34,163.7,80.8,F,non,doctorat,Normandie,non,oui,het,2,307.5,4721.0,veuf,3.0,0.83,2022-02-21,711.0,621.568,23979.35837424699,0,1,0,1,1,5,7
Wagner,Joseph,45,175.4,78.3,H,non,doctorat,Normandie,oui,oui,het,3,215.1,1494.0,marié,3.0,0.58,2024-07-02,575.0,816.238,9849.81775368521,1,0,0,1,1,5,7
Coleman,Tanya,18,180.0,70.8,F,oui,bac+2,Bretagne,oui,oui,het,3,285.7,1379.0,marié,3.0,0.84,2024-10-22,504.0,999.604,19656.6597615602,1,1,1,1,1,3,3
Watson,Michael,56,149.2,59.4,H,oui,aucun,Corse,non,oui,het,1,456.2,1435.0,marié,2.0,0.18,2020-10-30,789.0,1016.28,5703.955188223215,0,0,1,1,1,1,8
Matthews,Jessica,74,182.0,89.7,F,oui,bac,Île-de-France,oui,non,het,3,312.5,2641.0,veuf,4.0,0.45,2022-09-11,573.0,953.7,3227.086694925262,1,1,1,0,1,2,1
Barajas,Michelle,75,148.7,56.3,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,het,0,291.8,1216.0,marié,1.0,0.47,2025-02-17,454.0,660.38,500.0,1,0,0,1,1,2,2
Gardner,Kelli,56,184.7,62.0,H,non,master,Bretagne,non,oui,het,0,261.8,1150.0,marié,4.0,0.55,2020-09-30,573.0,1068.586,500.0,0,0,0,1,1,4,3
Gomez,Regina,41,168.5,100.3,F,oui,aucun,Hauts-de-France,oui,oui,het,2,83.0,2659.0,célibataire,2.0,0.73,2024-04-16,570.0,389.07,500.0,1,1,1,1,1,1,4
Smith,Jonathan,58,178.7,35.391,F,oui,bac,Hauts-de-France,oui,non,het,2,258.2,1942.0,célibataire,4.0,0.52,2021-03-11,619.0,394.9,500.0,1,1,1,0,1,2,4
Walters,Stacy,63,176.8,89.0,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,het,1,186.6,3317.0,marié,1.0,0.2,2023-04-19,582.0,882.1899999999999,500.0,1,0,1,0,1,4,5
Smith,Justin,60,193.80900000000003,101.8,F,non,doctorat,Occitanie,non,oui,het,2,174.5,2290.0,veuf,4.0,0.19,2020-10-14,696.0,880.242,29322.25467431438,0,1,0,1,1,5,6
Flores,Stephen,73,152.5,71.1,H,non,aucun,Île-de-France,non,oui,het,1,257.3,3979.0,divorcé,3.0,0.61,2023-10-04,575.0,707.1279999999999,18482.90008565181,0,0,0,1,1,1,1
Herring,Candice,63,175.9,63.1,F,non,aucun,Corse,oui,oui,het,4,114.5,3128.0,célibataire,4.0,0.41,2021-08-28,573.0,929.23,500.0,1,1,0,1,1,1,8
Beck,Madison,75,170.3,94.6,H,oui,bac+2,Auvergne-Rhône-Alpes,non,non,hom,4,356.8,3166.0,veuf,1.0,0.54,2021-01-15,582.0,724.294,9403.312586896614,0,0,1,0,0,3,2
Nelson,Martin,45,178.9,63.0,F,non,aucun,Normandie,non,non,hom,4,347.8,3945.0,célibataire,3.0,0.51,2021-01-27,575.0,912.24,500.0,0,1,0,0,0,1,7
Walker,Tanya,58,178.7,68.1,F,non,master,Bretagne,oui,oui,het,2,294.1,2346.0,divorcé,2.0,0.37,2021-09-03,614.0,612.37,8255.436626295073,1,1,0,1,1,4,3
Shepherd,Shawn,66,175.5,42.2,F,oui,bac,Hauts-de-France,oui,non,hom,1,79.8,1758.0,divorcé,4.0,0.59,2020-12-15,690.0,636.4200000000001,500.0,1,1,1,0,0,2,4
Parker,Kristen,71,174.6,83.5,H,non,master,Île-de-France,non,oui,het,1,250.2,5682.0,marié,0.0,0.94,2022-04-23,560.0,808.24,28604.90263475217,0,0,0,1,1,4,1
Phillips,Ross,23,193.80900000000003,75.6,H,oui,aucun,Bretagne,oui,non,het,1,240.8,2441.0,divorcé,4.0,0.33,2020-10-18,573.0,690.45,500.0,1,0,1,0,1,1,3
Davis,Robert,60,172.7,69.6,H,non,doctorat,Île-de-France,oui,non,het,0,295.9,3473.0,divorcé,1.0,0.09,2024-02-22,582.0,879.59,500.0,1,0,0,0,1,5,1
Maxwell,Walter,74,184.4,48.6,F,oui,bac+2,Auvergne-Rhône-Alpes,non,non,het,2,264.5,2323.0,divorcé,2.0,0.64,2022-05-27,467.0,901.692,500.0,0,1,1,0,1,3,2
Simpson,Bryan,18,162.8,74.6,H,non,bac,Île-de-France,non,oui,het,4,84.1,2465.0,divorcé,5.0,0.24,2025-04-03,802.0,926.1039999999999,25954.08783076408,0,0,0,1,1,2,1
Farley,Heidi,45,187.2,90.4,F,non,aucun,Île-de-France,non,non,het,1,179.8,2864.0,célibataire,5.0,0.89,2022-03-10,578.0,466.14,500.0,0,1,0,0,1,1,1
Alexander,Joseph,22,157.8,67.1,F,non,master,Normandie,oui,non,het,3,254.6,2083.0,célibataire,1.0,0.57,2023-07-21,582.0,728.636,500.0,1,1,0,0,1,4,7
Davis,Dillon,54,162.5,64.5,H,non,doctorat,Île-de-France,non,oui,het,2,75.5,4308.0,marié,4.0,0.56,2020-09-25,573.0,925.0699999999999,34091.88884757778,0,0,0,1,1,5,1
