nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalite_francaise,orientation_sexuelle,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Thomas,Joshua,61,171.4,68.4,F,oui,master,Hauts-de-France,non,non,het,4,436.9,3114.0,divorcé,2.0,0.53,2023-02-25,570.0,998.5319999999999,2642.0626051822514
Nelson,Sarah,25,168.6,101.8,H,non,bac,Île-de-France,non,oui,het,3,245.0,2851.0,veuf,0.0,0.41,2021-04-17,560.0,814.9919999999998,13567.668608456384
Miller,Meagan,39,168.5,60.9,H,non,master,Corse,oui,oui,het,1,128.0,826.0,marié,2.0,0.35,2020-06-06,570.0,699.4780000000001,500.0
Harper,Jessica,41,162.3,88.3,H,oui,doctorat,Bretagne,non,non,het,4,154.6,2774.0,divorcé,0.0,0.84,2022-12-16,560.0,352.07,30538.96553327411
Grant,Larry,23,187.7,56.3,H,oui,bac,Normandie,non,non,het,-1,105.7,2220.0,marié,3.0,0.17,2023-03-30,469.0,830.6540000000001,500.0
Anderson,Martha,52,170.1,46.4,H,non,master,Île-de-France,non,non,het,0,249.8,500.0,marié,0.0,0.42,2020-11-07,560.0,675.32,500.0
Moore,Phillip,57,177.5,95.8,H,non,doctorat,Hauts-de-France,oui,non,het,5,84.7,2702.0,marié,1.0,0.28,2024-05-15,582.0,1017.3640000000001,500.0
Gutierrez,Alexander,22,169.6,72.2,F,oui,master,Hauts-de-France,oui,oui,hom,4,218.1,1359.0,divorcé,3.0,0.12,2023-12-02,575.0,1069.89,17799.513101871773
Higgins,George,22,166.3,58.6,H,oui,aucun,Hauts-de-France,oui,oui,het,1,268.9,3905.0,célibataire,4.0,0.14,2022-03-08,573.0,854.5379999999999,500.0
Gonzales,Carla,69,173.1,56.0,H,non,master,Auvergne-Rhône-Alpes,oui,non,het,1,341.4,4433.0,divorcé,0.0,0.9,2021-07-03,431.0,691.696,500.0
Austin,Willie,47,156.4,86.6,F,non,bac,Bretagne,non,non,het,2,154.1,2451.0,veuf,4.0,0.05,2023-05-01,764.0,737.51,500.0
Garcia,Tiffany,70,175.3,74.5,H,oui,doctorat,Occitanie,non,non,het,1,151.8,2587.0,célibataire,1.0,0.38,2020-12-31,582.0,835.168,12238.599460951356
Taylor,Natalie,25,151.2,60.4,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,het,3,59.7,4588.0,divorcé,3.0,0.83,2021-01-28,575.0,766.4380000000001,500.0
Clark,Jonathan,42,176.8,65.4,F,oui,doctorat,Corse,oui,non,het,-1,358.9,769.0,marié,3.0,0.57,2023-02-01,784.0,960.73,500.0
Miller,Janet,18,167.8,60.0,H,non,bac+2,Normandie,oui,non,het,0,456.9,2400.0,veuf,2.0,0.02,2024-04-08,570.0,377.94,500.0
Boone,Manuel,23,180.9,95.4,H,oui,bac,Normandie,non,non,het,2,223.7,3368.0,veuf,4.0,0.33,2023-05-17,346.0,888.9460000000001,500.0
Murray,Janet,69,166.5,61.2,F,non,aucun,Île-de-France,oui,oui,het,1,247.6,1116.0,marié,3.0,0.98,2025-03-22,575.0,842.3459999999999,500.0
Jones,Victor,75,181.5,67.2,F,oui,aucun,Île-de-France,non,non,het,3,184.1,2203.0,divorcé,3.0,0.98,2023-07-05,575.0,857.2,500.0
Stevens,Meghan,26,171.0,41.8,F,oui,master,Île-de-France,oui,oui,het,5,297.8,2508.0,divorcé,3.0,0.07,2020-03-23,545.0,730.274,30957.4264798614
Brooks,Elizabeth,69,172.2,68.3,F,oui,bac+2,Corse,non,oui,het,0,195.0,1850.0,veuf,0.0,0.72,2023-10-24,560.0,590.28,500.0
Estes,April,61,173.0,36.7,H,non,bac,Corse,non,oui,het,1,318.6,3809.0,veuf,2.0,0.42,2023-09-08,311.0,1113.966,500.0
Hatfield,Sabrina,22,164.1,80.4,H,non,bac,Île-de-France,non,oui,het,0,223.0,3058.0,célibataire,2.0,0.06,2021-01-27,676.0,788.81,8772.88798042276
Carrillo,Vicki,73,173.9,57.5,H,non,bac+2,Bretagne,non,oui,het,3,255.8,2474.0,célibataire,0.0,0.84,2025-03-13,408.0,1298.3356,28577.61282542901
Walker,Jennifer,26,169.6,81.5,F,non,master,Île-de-France,non,oui,hom,5,290.8,1490.0,marié,3.0,0.1,2021-01-15,575.0,846.3700000000001,38021.26429213914
Smith,Stephen,29,163.6,52.7,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,het,2,373.2,2350.0,veuf,1.0,0.4,2024-10-08,582.0,679.644,16092.796559773358
Mercado,Luis,56,176.7,68.8,H,oui,bac+2,Corse,non,oui,het,3,227.8,2696.0,divorcé,0.0,0.24,2021-08-31,560.0,684.55,17840.63301851775
Smith,Melissa,63,175.5,69.6,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,het,6,314.6,845.0,divorcé,5.0,0.86,2025-04-27,578.0,833.7459999999999,18580.905538840077
Escobar,Bethany,22,174.9,79.9,H,non,bac,Occitanie,non,oui,het,5,265.3,4491.0,marié,2.0,0.26,2023-11-13,544.0,673.356,29799.65932299516
Blair,Paula,30,174.2,59.3,F,non,bac,Corse,oui,oui,het,2,318.1,2731.0,divorcé,3.0,0.89,2022-08-02,575.0,500.33000000000004,500.0
Lewis,Kelly,54,162.3,63.9,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,het,3,300.8,3316.0,marié,3.0,0.56,2025-04-09,575.0,1288.51,13033.679422727118
Lam,Sarah,19,162.8,68.5,F,non,bac+2,Île-de-France,non,non,het,2,403.1,2263.0,divorcé,4.0,0.97,2022-11-12,573.0,813.442,500.0
Drake,Sharon,34,169.6,65.3,F,oui,doctorat,Île-de-France,oui,non,het,2,257.6,2580.0,marié,0.0,0.24,2023-01-02,560.0,660.914,500.0
Jacobson,Nicole,39,155.4,61.5,F,oui,bac+2,Corse,oui,oui,het,0,335.9,5568.0,divorcé,5.0,0.28,2021-01-17,582.0,645.914,5293.398114202605
Reynolds,Ronald,25,173.0,82.4,F,oui,bac,Occitanie,non,non,het,0,128.3,500.0,veuf,4.0,0.77,2022-11-06,573.0,666.8,500.0
Carpenter,David,23,168.8,103.6,H,non,master,Provence-Alpes-Côte d’Azur,non,non,het,1,194.8,2792.0,marié,4.0,0.64,2025-03-26,664.0,895.15,500.0
Mendoza,Rebecca,26,160.4,45.1,F,non,aucun,Corse,non,non,het,2,133.6,2981.0,divorcé,1.0,0.26,2021-08-18,582.0,667.598,500.0
Stout,Stephanie,70,179.8,57.3,H,oui,master,Occitanie,oui,non,het,2,183.7,3012.0,marié,3.0,0.64,2024-07-19,575.0,623.434,500.0
Cooper,Brittany,63,171.1,76.6,H,oui,doctorat,Normandie,non,non,hom,0,356.2,3365.0,veuf,4.0,0.37,2022-06-17,529.0,921.4559999999999,500.0
Mitchell,Eileen,60,165.3,60.3,F,non,bac+2,Corse,non,non,het,3,256.9,2333.0,célibataire,5.0,0.95,2020-03-30,578.0,745.0640000000001,500.0
Zhang,Michael,47,166.5,59.6,F,oui,bac,Île-de-France,oui,non,hom,1,489.5,2592.0,veuf,0.0,0.84,2022-10-14,560.0,994.91,500.0
Sanders,Matthew,58,163.1,48.0,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,het,3,150.1,3433.0,veuf,2.0,0.63,2020-02-06,633.0,870.57,48600.36134032166
Thompson,Joseph,57,151.7,57.6,F,non,bac,Occitanie,non,oui,het,4,408.3,2773.0,veuf,5.0,0.23,2024-12-22,578.0,623.746,25692.82989869701
Stewart,Cory,49,176.7,64.4,H,oui,aucun,Bretagne,non,oui,het,0,222.0,4065.0,célibataire,3.0,0.22,2022-03-04,575.0,1284.92,11038.33945229482
Ellis,Kimberly,24,162.3,57.6,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,het,2,301.3,1272.0,célibataire,2.0,0.26,2021-05-06,570.0,871.1200000000001,22605.006221766333
Wilson,Erin,57,161.7,68.5,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,hom,0,103.2,2895.0,marié,5.0,0.15,2022-06-15,702.0,1113.31,10844.236233853091
Hamilton,David,70,161.5,76.6,F,oui,bac+2,Occitanie,non,non,het,0,353.5,3851.0,marié,1.0,0.26,2023-03-14,582.0,664.1200000000001,500.0
Velasquez,Miranda,37,163.3,68.8,F,non,master,Auvergne-Rhône-Alpes,oui,oui,het,3,275.3,3803.0,divorcé,0.0,0.43,2023-04-27,350.0,1115.06,5614.966859524264
Boone,Felicia,46,188.0,71.8,F,non,doctorat,Île-de-France,oui,oui,het,2,250.2,4719.0,divorcé,2.0,1.0,2024-09-01,528.0,790.108,27753.990453195944
Griffin,Randy,48,161.1,77.8,H,oui,aucun,Île-de-France,oui,oui,het,1,229.3,2853.0,veuf,5.0,0.66,2020-04-02,578.0,752.106,500.0
Pope,Kristina,67,173.2,58.0,H,oui,aucun,Île-de-France,oui,non,hom,1,360.7,2290.0,divorcé,2.0,0.9,2022-12-05,570.0,886.46,500.0
Miller,Julie,63,173.6,88.8,H,non,bac+2,Corse,oui,non,het,1,270.5,2623.0,célibataire,2.0,0.27,2023-09-28,570.0,911.516,500.0
Andrade,Angela,37,174.7,98.1,F,non,bac+2,Occitanie,oui,oui,hom,1,-10.2,893.0,marié,0.0,0.41,2022-02-09,642.0,647.88,500.0
Moore,Kristin,45,166.9,90.2,H,non,doctorat,Corse,non,oui,het,1,231.2,4474.0,divorcé,2.0,0.05,2025-04-04,445.0,602.29,13297.587606417306
Williamson,Deborah,63,174.7,72.9,F,non,doctorat,Occitanie,oui,oui,het,0,268.6,3515.0,veuf,2.0,0.43,2024-05-04,486.0,784.62,500.0
Warren,Karen,67,179.4,55.2,H,oui,doctorat,Occitanie,non,non,het,4,351.0,930.0,célibataire,3.0,0.85,2024-09-22,639.0,1122.25,8573.358470408864
Rogers,Erin,48,170.3,73.3,H,non,doctorat,Occitanie,oui,non,het,3,299.2,2549.0,veuf,0.0,0.49,2020-04-03,746.0,881.49,500.0
Villarreal,Michelle,70,192.5,79.7,H,oui,bac+2,Bretagne,oui,oui,het,3,208.0,2063.0,divorcé,3.0,0.92,2020-11-16,575.0,698.308,21679.5486704196
Gutierrez,Alan,62,164.1,73.5,F,oui,bac,Auvergne-Rhône-Alpes,non,oui,het,1,113.3,1236.0,célibataire,5.0,0.81,2023-04-04,578.0,790.1099999999999,1844.0329371307264
Bryan,Arthur,57,168.0,61.6,F,oui,bac+2,Corse,non,oui,het,0,353.6,4464.0,divorcé,3.0,0.26,2025-06-05,575.0,1150.04,8285.817936778778
Harper,Brian,53,172.6,62.1,H,non,bac,Occitanie,non,oui,het,1,168.1,500.0,divorcé,5.0,0.45,2022-10-02,524.0,796.64,500.0
Nolan,Nicole,47,158.8,55.7,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,het,2,230.0,2054.0,divorcé,5.0,0.94,2021-08-14,397.0,786.066,6046.755656883397
Bryant,Neil,45,157.2,80.8,F,oui,master,Corse,non,oui,het,0,145.2,2365.0,divorcé,4.0,0.53,2023-01-04,573.0,757.216,500.0
Brown,Emily,59,167.8,104.20900000000002,F,non,bac+2,Hauts-de-France,non,non,het,2,95.7,3328.0,veuf,0.0,0.3,2023-01-20,478.0,945.992,500.0
Adams,Holly,38,158.1,59.7,H,non,aucun,Hauts-de-France,non,oui,het,4,95.4,1140.0,marié,0.0,0.38,2024-01-28,807.0,646.328,10885.381593712042
Koch,Julia,20,176.0,64.0,H,non,aucun,Bretagne,oui,oui,het,3,187.3,3485.0,veuf,3.0,0.11,2021-03-02,575.0,628.646,11709.417260793842
Green,Jenna,33,178.9,80.4,H,oui,bac,Hauts-de-France,non,oui,het,1,381.6,3452.0,marié,4.0,0.54,2024-09-02,573.0,1119.65,6733.297384903495
Williams,Carol,51,173.1,89.2,F,oui,master,Île-de-France,oui,non,het,3,133.4,2712.0,marié,5.0,0.61,2023-09-01,578.0,903.98,500.0
Stewart,James,58,171.0,86.8,H,non,doctorat,Normandie,oui,oui,hom,4,238.2,4964.0,divorcé,3.0,0.57,2023-08-09,575.0,780.4620000000001,39382.40174228292
Hancock,Carrie,69,168.9,79.5,H,oui,bac,Auvergne-Rhône-Alpes,oui,non,het,4,324.4,2351.0,célibataire,3.0,0.33,2020-07-14,485.0,540.612,500.0
Khan,Rickey,72,162.0,42.9,F,oui,bac,Occitanie,non,oui,het,1,185.2,784.0,veuf,3.0,0.19,2023-12-20,575.0,826.372,500.0
Walker,Melissa,33,160.2,83.7,F,non,bac+2,Normandie,oui,oui,het,0,372.0,1240.0,marié,2.0,0.34,2021-03-31,846.0,643.166,500.0
Wheeler,Kelly,66,170.6,77.0,H,oui,bac+2,Occitanie,non,non,het,0,377.0,3927.0,marié,1.0,0.8,2020-08-01,650.0,326.56,500.0
Walker,Richard,65,185.7,49.2,F,non,bac,Normandie,non,oui,het,2,268.9,2676.0,marié,4.0,0.48,2024-05-21,573.0,825.92,5159.662691995385
Manning,Eric,52,172.5,64.5,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,het,2,187.3,4034.0,veuf,5.0,0.74,2025-01-10,578.0,902.4419999999998,12886.728785661053
Schwartz,Jeremiah,55,167.8,64.3,H,oui,bac,Normandie,oui,oui,het,1,280.4,654.0,célibataire,1.0,0.34,2023-04-03,582.0,934.71,500.0
Erickson,Christopher,33,165.8,49.5,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,2,433.2,908.0,divorcé,0.0,0.88,2021-08-12,560.0,865.634,500.0
Bishop,Audrey,68,167.2,55.1,F,non,bac,Normandie,non,oui,het,4,99.9,2067.0,célibataire,0.0,0.16,2020-06-29,560.0,601.2719999999999,500.0
Cook,Lisa,56,167.6,41.7,H,oui,doctorat,Île-de-France,oui,non,het,3,281.3,1587.0,veuf,2.0,0.3,2020-01-13,570.0,433.09,500.0
May,George,59,172.6,78.2,F,oui,master,Normandie,non,oui,het,0,163.7,3477.0,veuf,5.0,0.13,2020-08-15,578.0,747.1800000000001,25786.486859098208
Reyes,Austin,75,170.0,62.7,F,oui,master,Auvergne-Rhône-Alpes,oui,non,het,4,258.7,2373.0,célibataire,5.0,0.13,2020-03-31,578.0,627.9680000000001,3037.8523332904906
Powell,Jennifer,68,167.0,72.6,H,oui,aucun,Normandie,non,non,het,0,154.9,1582.0,veuf,3.0,0.56,2025-03-11,668.0,480.18199999999996,500.0
Scott,Nancy,36,175.3,104.20900000000002,H,non,master,Occitanie,non,oui,het,2,406.0,2195.0,veuf,0.0,0.44,2023-12-18,560.0,945.86,20874.81075557496
Weaver,Jennifer,49,159.3,64.4,H,non,master,Occitanie,non,oui,het,1,306.6,1663.0,célibataire,0.0,0.46,2025-03-23,435.0,628.1,15182.68376717428
Golden,Darren,51,167.9,72.4,F,oui,bac,Corse,oui,non,het,-1,346.6,1377.0,marié,2.0,0.09,2024-10-18,570.0,975.8219999999999,500.0
Farmer,Lori,62,172.0,85.3,F,oui,aucun,Bretagne,oui,oui,het,4,184.6,1441.0,veuf,1.0,0.57,2023-05-10,582.0,469.54,4004.655230721941
Perez,Matthew,27,184.5,46.7,F,oui,master,Provence-Alpes-Côte d’Azur,oui,non,het,3,203.8,4806.0,divorcé,0.0,0.33,2022-04-13,771.0,974.2639999999999,11952.530924422606
Hamilton,Colleen,44,166.8,86.0,F,oui,aucun,Hauts-de-France,oui,non,hom,1,262.1,1891.0,célibataire,1.0,0.25,2020-05-04,582.0,795.186,500.0
Williams,William,63,170.6,73.4,H,oui,bac+2,Bretagne,oui,non,het,3,98.5,500.0,veuf,2.0,0.69,2025-04-19,570.0,464.49399999999997,500.0
Gomez,Gina,40,166.6,93.8,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,het,4,385.4,3554.0,célibataire,3.0,0.42,2021-07-14,793.0,813.324,9737.490776631392
Davis,Jennifer,24,175.1,65.3,H,non,bac,Occitanie,oui,oui,het,1,256.4,3052.0,veuf,2.0,0.52,2023-01-26,689.0,750.4860000000001,500.0
Monroe,Travis,30,168.6,66.4,F,non,aucun,Auvergne-Rhône-Alpes,non,oui,het,0,164.8,3250.0,veuf,0.0,0.45,2023-09-02,560.0,690.08,500.0
Rollins,Jennifer,52,164.9,88.7,H,oui,doctorat,Bretagne,oui,non,het,1,235.4,3299.0,veuf,5.0,0.81,2021-04-18,487.0,922.7160000000001,500.0
Stevens,Todd,39,177.9,63.8,H,non,aucun,Corse,oui,oui,het,1,301.9,2428.0,veuf,1.0,0.85,2022-10-30,729.0,712.856,500.0
Williams,Richard,57,157.3,35.391,H,oui,bac+2,Île-de-France,non,non,het,-1,289.5,3438.0,divorcé,3.0,0.39,2021-02-26,495.0,465.68,500.0
Estrada,Stacey,54,162.7,63.3,F,non,aucun,Auvergne-Rhône-Alpes,non,oui,het,3,281.6,2153.0,veuf,3.0,0.65,2020-11-05,575.0,641.3140000000001,17194.207059045802
Gray,Jorge,27,163.3,86.5,H,non,bac+2,Île-de-France,oui,oui,het,0,259.5,3022.0,veuf,2.0,0.38,2024-07-27,570.0,782.2060000000001,500.0
Johnson,Ricky,62,172.0,67.7,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,het,0,242.6,3773.0,veuf,4.0,0.82,2022-08-12,573.0,502.09,500.0
Sparks,Lee,61,162.9,54.9,F,non,bac+2,Corse,oui,non,het,3,323.8,2508.0,veuf,4.0,0.28,2022-10-09,837.0,932.9399999999999,500.0
Rangel,Lisa,22,176.4,48.0,F,oui,bac+2,Bretagne,non,non,het,1,5.9,3237.0,divorcé,2.0,0.15,2023-06-30,435.0,835.1560000000002,500.0
Morales,Allison,21,185.9,67.4,H,non,aucun,Auvergne-Rhône-Alpes,non,non,het,0,343.2,3758.0,veuf,2.0,0.69,2022-01-21,747.0,429.85,500.0
Smith,Michael,20,168.4,61.3,H,non,aucun,Occitanie,oui,oui,het,0,352.3,3781.0,veuf,1.0,0.18,2021-12-21,582.0,549.118,500.0
Banks,Jennifer,43,156.7,43.5,F,non,master,Occitanie,oui,oui,hom,3,246.5,2607.0,divorcé,2.0,0.08,2022-08-13,570.0,1006.6,14384.134432475044
Fisher,Michael,59,165.9,48.2,H,non,master,Corse,oui,oui,het,0,247.3,2086.0,divorcé,0.0,0.13,2023-10-19,571.0,1010.6119999999999,500.0
Gutierrez,Jennifer,39,193.4,71.1,F,non,bac,Bretagne,non,oui,het,2,217.1,877.0,marié,2.0,0.54,2021-02-12,430.0,728.1999999999999,5104.669103968065
Miller,Daniel,24,159.3,68.0,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,0,173.0,2188.0,veuf,4.0,0.31,2020-09-14,517.0,788.412,500.0
Crawford,Stacy,27,156.4,56.3,F,oui,bac,Corse,oui,oui,het,4,117.5,1452.0,marié,0.0,0.84,2022-06-29,560.0,702.142,500.0
Cooke,Mark,64,172.6,76.4,H,oui,doctorat,Normandie,oui,oui,het,0,452.5,4240.0,veuf,3.0,0.1,2024-12-09,408.0,758.836,20076.710615152388
White,Benjamin,71,167.7,72.0,H,oui,doctorat,Occitanie,non,non,het,0,332.7,4018.0,marié,0.0,0.61,2025-03-26,436.0,635.374,9787.450681057464
Collins,Stacy,41,151.5,58.3,F,non,bac,Bretagne,non,oui,het,1,288.5,3200.0,veuf,5.0,0.48,2021-07-05,578.0,856.008,13451.949076437062
Elliott,Regina,58,159.2,51.4,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,het,4,554.8,3510.0,célibataire,3.0,0.89,2022-10-13,575.0,826.1879999999999,3781.4490294781554
Edwards,Christopher,66,174.4,67.2,F,oui,aucun,Occitanie,non,oui,het,2,383.8,2302.0,divorcé,0.0,0.77,2022-07-03,560.0,939.366,3693.546074949823
Nolan,Andrea,58,161.4,95.5,F,non,bac+2,Hauts-de-France,non,non,het,3,171.7,2778.0,divorcé,1.0,0.22,2022-10-21,582.0,824.314,500.0
Robinson,Joseph,66,189.2,88.6,F,oui,bac+2,Corse,non,oui,het,2,256.2,4796.0,marié,5.0,0.51,2024-02-27,578.0,697.788,13019.752251067695
Grant,Ernest,41,168.6,69.1,H,non,master,Auvergne-Rhône-Alpes,oui,non,hom,0,360.7,4020.0,marié,0.0,0.74,2022-08-20,560.0,717.1600000000001,500.0
Hernandez,Amber,47,166.5,73.2,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,het,1,294.2,500.0,divorcé,1.0,0.8,2020-05-27,480.0,870.742,500.0
Hill,Stephen,66,161.5,76.0,H,oui,bac+2,Auvergne-Rhône-Alpes,non,non,het,0,309.6,789.0,veuf,3.0,0.88,2023-04-14,756.0,775.918,500.0
Lawson,Christina,61,180.7,75.4,H,oui,doctorat,Corse,non,non,het,1,377.0,2747.0,divorcé,2.0,0.2,2022-01-10,839.0,1111.12,899.2670081650382
Leonard,Claudia,63,168.1,73.6,F,non,bac,Occitanie,non,oui,het,2,299.3,2910.0,célibataire,1.0,0.96,2023-06-24,687.0,731.55,14812.435436480271
Miller,Jason,71,159.6,86.3,F,non,aucun,Corse,non,oui,het,2,442.3,2377.0,divorcé,4.0,0.58,2020-04-14,573.0,535.66,500.0
Wilson,Laura,63,169.0,61.7,H,non,bac+2,Occitanie,non,oui,het,1,264.6,653.0,veuf,1.0,0.05,2020-08-27,582.0,868.4040000000001,4245.059588698138
Jimenez,Monica,74,181.8,69.8,F,non,master,Normandie,non,oui,het,2,368.9,2620.0,célibataire,1.0,0.13,2024-12-29,582.0,840.2239999999999,16850.61187309268
Leach,Carolyn,71,193.80900000000003,67.3,H,oui,master,Corse,non,non,het,0,-10.0,2377.0,veuf,5.0,0.83,2020-03-03,434.0,718.9,500.0
Beasley,Kimberly,50,174.8,58.5,H,non,bac,Normandie,non,non,het,2,185.7,1539.0,célibataire,4.0,0.16,2022-07-07,573.0,896.6479999999999,500.0
Payne,Cory,31,174.4,47.1,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,het,2,441.2,2589.0,célibataire,2.0,0.42,2025-06-02,359.0,1067.25,28361.216717560765
Davis,Nicole,28,156.0,80.0,F,non,bac+2,Normandie,oui,oui,het,1,234.6,543.0,divorcé,2.0,0.22,2020-03-18,699.0,589.78,500.0
Hardy,Randy,37,184.0,68.0,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,het,3,186.1,1645.0,célibataire,2.0,0.36,2021-08-21,570.0,939.52,16779.477423165245
Mercado,Michael,32,163.1,60.3,H,non,aucun,Occitanie,oui,non,het,0,190.4,3378.0,marié,1.0,0.36,2021-02-07,352.0,790.78,500.0
Ellis,Alexander,71,178.8,72.4,H,non,bac,Île-de-France,non,oui,het,2,322.2,3935.0,divorcé,3.0,0.45,2021-11-06,707.0,799.8,30582.229512865797
Aguilar,Allison,73,154.6,73.7,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,het,1,206.2,3084.0,marié,1.0,0.56,2024-11-16,582.0,1267.42,500.0
Taylor,Heather,49,178.0,82.4,F,oui,doctorat,Bretagne,oui,oui,het,3,162.2,1898.0,marié,0.0,0.88,2024-12-04,560.0,655.22,27049.936870365764
Torres,Alyssa,29,180.5,57.7,H,non,aucun,Auvergne-Rhône-Alpes,non,non,het,4,109.6,2112.0,divorcé,0.0,0.75,2023-09-21,560.0,1015.7720000000002,500.0
Watts,Ronnie,40,171.8,68.9,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,het,0,324.8,2141.0,veuf,5.0,0.47,2025-02-10,578.0,778.9739999999999,500.0
Brown,Dana,35,188.7,56.3,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,het,2,187.4,1971.0,veuf,5.0,0.25,2022-02-11,578.0,751.568,19659.52989597216
Jackson,Kristin,40,165.7,70.6,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,het,0,375.7,3418.0,divorcé,0.0,0.12,2024-09-14,560.0,776.37,500.0
Gibson,Amy,52,172.1,60.1,F,oui,master,Auvergne-Rhône-Alpes,non,oui,het,4,345.7,2719.0,divorcé,1.0,0.88,2021-03-25,618.0,890.106,35037.39503704966
Guzman,Lawrence,41,156.8,68.6,F,oui,aucun,Hauts-de-France,oui,oui,het,0,106.9,1249.0,marié,5.0,0.73,2022-08-02,847.0,761.826,500.0
Callahan,Jeremiah,25,167.2,81.9,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,het,0,65.0,2988.0,divorcé,3.0,0.33,2025-03-15,575.0,479.63,500.0
Baxter,James,19,163.4,80.3,H,non,bac,Corse,non,oui,het,1,393.1,3507.0,marié,3.0,0.17,2024-12-01,742.0,802.7859999999998,3339.4071421091703
Medina,Theresa,34,179.9,74.5,H,non,bac+2,Hauts-de-France,non,oui,het,1,293.8,3333.0,marié,5.0,0.3,2025-05-13,578.0,933.3799999999999,11440.41558874762
Adams,Brian,34,181.4,91.6,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,het,1,243.1,5053.0,divorcé,4.0,0.9,2020-09-25,573.0,799.884,28059.26791132646
Lopez,Robert,64,160.5,63.4,H,oui,bac,Hauts-de-France,non,non,het,3,167.3,1629.0,célibataire,1.0,0.88,2023-05-14,582.0,678.6960000000001,500.0
Blake,Jasmin,20,166.6,74.9,H,non,doctorat,Auvergne-Rhône-Alpes,oui,non,het,1,200.7,3545.0,marié,5.0,0.43,2022-06-08,432.0,605.128,500.0
Massey,Alyssa,31,171.1,53.3,F,oui,master,Auvergne-Rhône-Alpes,non,non,het,4,172.0,1368.0,marié,5.0,0.53,2021-03-14,578.0,889.358,500.0
Jackson,Michael,57,153.9,65.3,F,non,aucun,Normandie,non,non,het,4,212.1,2968.0,veuf,0.0,0.5,2021-01-20,560.0,640.106,500.0
Roberts,Ricky,48,171.3,69.7,H,non,doctorat,Île-de-France,non,oui,het,2,168.1,1285.0,veuf,3.0,0.79,2023-01-21,654.0,952.1919999999998,28660.654900555084
Bentley,Stephen,26,164.2,70.7,F,oui,master,Bretagne,non,oui,het,2,117.0,1061.0,marié,5.0,0.72,2021-02-05,313.0,839.46,21639.31929549234
Finley,Zachary,22,150.9,63.0,H,oui,aucun,Île-de-France,oui,oui,hom,0,243.8,500.0,divorcé,3.0,0.9,2020-12-12,575.0,675.32,500.0
Hodge,Ryan,45,174.3,75.3,F,non,bac,Normandie,oui,oui,het,0,210.0,3838.0,célibataire,2.0,0.75,2021-12-12,706.0,744.336,500.0
Mckee,David,62,170.0,68.1,H,oui,bac+2,Bretagne,non,oui,het,3,496.5,2663.0,divorcé,4.0,0.03,2023-08-05,573.0,818.1099999999999,33214.03193970021
Stanley,Robert,30,187.1,81.3,H,non,aucun,Occitanie,oui,non,het,2,26.3,1491.0,célibataire,2.0,0.47,2023-11-26,570.0,436.93,500.0
Allen,Tyler,29,192.3,74.1,H,oui,bac,Auvergne-Rhône-Alpes,non,oui,het,0,263.5,2183.0,célibataire,1.0,0.1,2023-02-26,846.0,833.9979999999999,17288.094989211968
Morgan,Bryan,64,170.1,101.2,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,het,0,12.7,2485.0,célibataire,3.0,0.25,2025-03-12,368.0,830.8279999999999,500.0
Romero,Mark,63,167.8,80.5,F,non,master,Hauts-de-France,non,oui,het,2,218.6,2745.0,veuf,1.0,0.24,2021-09-28,651.0,1019.948,5384.587170852851
Robinson,Destiny,29,170.1,52.8,H,non,master,Hauts-de-France,oui,oui,het,0,312.4,1319.0,marié,3.0,0.33,2022-12-13,575.0,721.984,500.0
Moore,Tanner,75,169.6,62.1,F,non,doctorat,Provence-Alpes-Côte d’Azur,non,non,het,2,255.1,4342.0,divorcé,0.0,0.13,2020-02-06,560.0,594.45,645.9904107965895
