nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Marshall,William,35,174.0,57.2,F,non,master,Occitanie,oui,oui,1160.0,célibataire,2.0,0.56,2021-05-31,483.0,938.6439999999999,2328.801471800949
Hoffman,Brian,56,149.7,64.5,H,non,doctorat,Occitanie,non,oui,2660.0,veuf,4.0,0.05,2021-03-14,576.0,796.7719999999999,28321.516227569453
Thomas,Kathleen,18,162.9,61.1,H,oui,aucun,Normandie,oui,oui,3818.0,célibataire,1.0,0.1,2024-08-28,553.0,803.632,8300.46583239124
Perez,Johnny,71,178.8,72.3,F,non,aucun,Corse,oui,non,998.0,divorcé,4.0,0.39,2023-11-03,524.0,373.25,500.0
Parker,Michael,42,166.5,78.3,F,non,aucun,Hauts-de-France,oui,non,2810.0,marié,2.0,0.18,2021-07-09,577.0,691.7940000000001,500.0
Gonzalez,Gregory,74,158.0,60.5,F,oui,bac,Auvergne-Rhône-Alpes,non,non,3958.0,célibataire,1.0,0.49,2024-08-31,553.0,589.55,500.0
Reeves,Lisa,33,177.2,82.9,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,4040.0,veuf,2.0,0.76,2022-12-13,577.0,750.6,500.0
Castillo,William,33,168.3,75.0,F,non,aucun,Île-de-France,non,non,2934.0,veuf,4.0,0.83,2024-01-30,576.0,889.6619999999999,500.0
Dean,Marie,38,159.3,96.7,H,non,aucun,Île-de-France,non,oui,2291.0,célibataire,5.0,0.08,2024-11-18,763.0,855.6540000000001,21728.70265918484
Peck,Crystal,68,179.6,63.4,F,oui,bac+2,Normandie,non,non,2818.0,marié,5.0,0.84,2023-01-07,557.0,907.942,500.0
Thomas,Blake,75,154.8,78.7,H,non,bac,Corse,non,non,4676.0,divorcé,1.0,0.57,2020-05-22,694.0,884.7540000000001,500.0
Schroeder,Monica,19,184.3,75.9,H,oui,bac,Corse,oui,non,3011.0,célibataire,4.0,0.6,2023-05-12,576.0,744.5459999999999,500.0
Marks,Stuart,33,152.5,72.0,H,non,aucun,Occitanie,non,oui,1744.0,marié,1.0,0.91,2020-09-30,312.0,815.0579999999999,500.0
Chase,Jerry,38,166.2,75.0,H,oui,master,Occitanie,non,non,2445.0,marié,5.0,0.37,2023-01-04,557.0,1004.9439999999998,5985.695147366836
Miller,Adriana,32,177.9,69.8,F,oui,bac,Bretagne,non,non,2387.0,divorcé,2.0,0.22,2022-05-08,577.0,885.63,3543.6621585618554
Wilson,Erica,57,182.6,87.1,H,oui,doctorat,Hauts-de-France,non,oui,1597.0,marié,5.0,0.7,2022-03-28,639.0,1070.724,31268.27702631601
Norman,Amanda,65,153.7,60.8,H,oui,master,Occitanie,oui,non,1185.0,célibataire,3.0,0.69,2020-07-19,581.0,725.73,500.0
Lewis,James,24,161.3,60.5,H,oui,master,Bretagne,oui,oui,2951.0,divorcé,5.0,0.56,2020-06-22,334.0,1003.1020000000001,20974.301162694257
Larson,Tara,61,165.5,77.5,H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,949.0,divorcé,4.0,0.02,2025-04-04,576.0,1060.038,13890.4529260375
Moody,Mary,37,179.8,86.4,F,non,master,Hauts-de-France,non,non,2276.0,veuf,5.0,0.16,2025-04-14,489.0,1217.44,500.0
Henry,Benjamin,35,173.0,57.9,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,3176.0,célibataire,5.0,0.31,2024-07-27,313.0,762.4280000000001,46745.60635500457
Haynes,Daisy,65,156.5,47.7,F,non,bac+2,Normandie,oui,non,4453.0,veuf,5.0,0.6,2021-06-02,534.0,460.01,500.0
Griffin,Christopher,61,174.0,64.4,H,oui,bac,Corse,oui,non,3228.0,célibataire,0.0,0.79,2023-09-15,580.0,663.4399999999999,500.0
Fuentes,Kimberly,61,181.0,47.5,H,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,3192.0,marié,4.0,0.03,2020-01-02,576.0,917.8879999999999,30898.12346442135
Hunter,Brett,68,160.2,74.1,H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,3428.0,célibataire,5.0,0.77,2025-02-05,557.0,880.3900000000001,7665.501956720779
Hoffman,Anthony,27,150.0,86.1,H,non,bac,Normandie,oui,oui,2879.0,veuf,1.0,0.62,2020-12-21,553.0,904.426,3349.744144557455
Farrell,Shawna,62,176.8,74.9,F,non,aucun,Hauts-de-France,non,oui,2788.0,marié,0.0,0.29,2024-04-30,580.0,904.808,500.0
Schneider,Allison,38,173.9,88.1,F,non,bac+2,Hauts-de-France,oui,non,2334.0,divorcé,4.0,0.96,2025-02-22,576.0,806.182,500.0
Torres,Sylvia,39,161.5,55.4,F,oui,aucun,Occitanie,non,oui,703.0,veuf,5.0,0.84,2021-08-17,557.0,705.642,579.3974887282877
Brooks,Mario,62,164.5,47.7,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,1743.0,célibataire,0.0,0.15,2023-10-03,580.0,753.396,500.0
Miranda,Jason,45,180.3,60.0,H,oui,aucun,Corse,oui,oui,1490.0,veuf,0.0,0.25,2024-02-06,580.0,708.662,500.0
Trujillo,Christopher,51,163.7,99.8,H,non,bac,Bretagne,oui,non,3465.0,veuf,4.0,0.76,2022-11-08,702.0,910.2759999999998,500.0
Ortiz,Joanna,23,183.6,83.5,H,oui,bac+2,Île-de-France,oui,non,2387.0,veuf,2.0,0.81,2021-08-10,739.0,923.6139999999999,500.0
Mathews,Samuel,33,175.4,86.7,H,non,bac+2,Hauts-de-France,non,non,1650.0,célibataire,1.0,0.75,2020-04-04,553.0,738.434,500.0
Larson,Sarah,25,155.7,77.5,F,oui,bac+2,Hauts-de-France,oui,non,2370.0,marié,3.0,0.82,2020-06-02,581.0,603.88,500.0
Rodriguez,Scott,38,178.3,62.1,H,oui,bac+2,Hauts-de-France,oui,oui,3704.0,veuf,1.0,0.01,2020-03-07,425.0,285.41,14884.729405727216
Petersen,Mark,40,150.3,75.4,H,oui,doctorat,Île-de-France,oui,non,1043.0,marié,4.0,0.48,2025-06-04,719.0,764.86,13684.953136583248
Burton,Joel,41,170.7,67.5,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1217.0,divorcé,2.0,0.68,2023-02-02,682.0,849.732,11529.798741792576
West,Nicole,56,179.2,88.2,F,oui,bac,Occitanie,oui,oui,2792.0,veuf,2.0,0.62,2021-03-16,626.0,864.2959999999999,500.0
Mata,Sandy,53,160.2,62.2,H,non,bac,Corse,non,oui,875.0,divorcé,3.0,0.12,2022-11-05,669.0,834.7,500.0
Crosby,Matthew,52,180.1,69.9,H,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,1686.0,célibataire,1.0,0.84,2020-06-22,553.0,869.756,10086.919320008365
Johnston,Michelle,54,177.6,84.0,H,non,bac+2,Hauts-de-France,oui,non,1876.0,célibataire,3.0,0.52,2023-06-17,581.0,806.184,500.0
Myers,Sharon,58,176.2,88.9,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,500.0,divorcé,3.0,0.73,2022-06-12,785.0,291.91,13505.520294628031
Mckenzie,Joseph,18,174.3,91.0,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,1792.0,célibataire,3.0,0.56,2021-09-21,581.0,725.52,500.0
Gray,David,32,182.8,103.2,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2484.0,marié,5.0,0.16,2022-12-08,557.0,712.488,14474.521230572302
Stout,Christopher,19,167.4,49.2,F,non,bac+2,Corse,oui,oui,1341.0,veuf,0.0,0.69,2023-06-06,570.0,1176.54,500.0
Arnold,Logan,50,171.9,67.2,H,non,bac,Normandie,non,oui,1464.0,célibataire,2.0,0.27,2024-08-21,577.0,446.968,500.0
Shea,Joshua,26,177.2,69.9,F,oui,bac+2,Bretagne,non,non,500.0,divorcé,5.0,0.08,2025-02-04,557.0,806.098,500.0
Johnson,Willie,70,160.7,56.1,F,non,bac+2,Normandie,oui,non,3755.0,célibataire,3.0,0.76,2020-11-21,318.0,735.226,500.0
Carr,Edward,51,174.1,58.5,H,non,master,Île-de-France,non,non,2652.0,veuf,4.0,0.92,2025-03-10,768.0,707.78,500.0
Duarte,Carla,68,177.2,72.8,F,oui,bac+2,Normandie,non,oui,3892.0,divorcé,0.0,0.46,2022-05-17,580.0,848.564,27810.673063023347
Parrish,Dorothy,31,151.8,53.8,F,non,bac+2,Hauts-de-France,non,non,3186.0,célibataire,3.0,0.75,2024-06-10,581.0,764.2539999999999,500.0
Wood,Thomas,52,168.9,69.3,H,oui,bac+2,Corse,oui,non,1928.0,marié,0.0,0.91,2024-10-13,580.0,806.3860000000001,500.0
Jenkins,Matthew,64,173.0,66.2,H,oui,master,Normandie,non,oui,2518.0,célibataire,4.0,0.87,2023-02-18,576.0,1307.961000000001,21178.08365205545
Lopez,Kimberly,24,176.5,63.5,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,2593.0,divorcé,5.0,0.68,2020-08-06,557.0,472.17,500.0
Watts,Tara,37,173.3,82.0,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,1953.0,divorcé,1.0,0.15,2022-01-18,356.0,809.284,22358.98789092836
Taylor,Teresa,68,159.0,103.2,H,oui,bac,Île-de-France,oui,oui,3337.0,veuf,3.0,0.26,2024-09-16,581.0,676.472,9360.63279862444
Ortega,Samuel,27,166.4,55.5,H,oui,doctorat,Corse,oui,non,2339.0,célibataire,0.0,0.59,2020-12-31,580.0,731.6,500.0
Lee,Lacey,47,165.8,76.1,H,non,bac+2,Corse,oui,oui,4166.0,divorcé,4.0,0.86,2025-04-22,576.0,912.38,6242.243106734053
Morrison,Andrew,63,159.1,89.5,F,oui,doctorat,Hauts-de-France,oui,oui,900.0,marié,2.0,0.68,2023-06-02,577.0,889.7240000000002,6973.6325372896645
Roberts,Hector,40,172.5,92.5,F,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,4574.0,marié,1.0,0.13,2024-09-14,553.0,1086.15,9942.987296518457
Dunn,Jason,57,187.1,53.8,F,oui,aucun,Bretagne,oui,oui,1573.0,veuf,4.0,0.05,2021-07-10,576.0,723.01,500.0
Holmes,Ashley,62,169.0,71.0,H,non,bac,Île-de-France,oui,oui,2404.0,marié,1.0,0.69,2024-09-29,553.0,516.31,9155.90013439457
Lam,Bryan,40,193.19399999999996,44.1,H,oui,bac,Normandie,non,oui,1660.0,veuf,5.0,0.52,2022-01-07,799.0,850.1899999999999,15279.232173570374
Romero,Lauren,28,168.7,63.8,H,non,aucun,Normandie,oui,oui,2987.0,célibataire,5.0,0.16,2023-10-09,557.0,798.786,3426.8492967480315
Smith,Mitchell,43,167.7,70.7,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,2747.0,célibataire,3.0,0.27,2020-03-21,777.0,818.5,500.0
Riley,Nicholas,21,148.7,63.9,H,oui,master,Auvergne-Rhône-Alpes,non,oui,2711.0,veuf,4.0,0.5,2022-07-29,576.0,825.626,30709.96531664265
Andrade,Elizabeth,43,188.9,101.1,F,oui,doctorat,Corse,oui,oui,2094.0,célibataire,5.0,0.0,2025-04-29,658.0,499.486,10948.885245464136
Jackson,Dawn,55,165.1,70.0,H,non,bac,Auvergne-Rhône-Alpes,non,oui,3997.0,marié,5.0,0.41,2022-01-31,557.0,842.174,22231.97321248849
Murphy,Michael,49,177.1,72.8,F,oui,bac,Hauts-de-France,oui,oui,1545.0,célibataire,1.0,0.8,2023-05-02,716.0,775.08,500.0
Lester,Douglas,58,164.8,89.0,H,non,bac,Corse,non,non,2942.0,veuf,0.0,0.56,2021-10-04,560.0,795.372,500.0
Adams,Elizabeth,75,171.6,85.3,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,3699.0,célibataire,5.0,0.57,2023-11-12,557.0,661.31,4247.479089404679
Gonzalez,George,71,160.4,67.6,H,oui,bac,Île-de-France,non,oui,500.0,célibataire,0.0,0.51,2022-10-19,701.0,482.6199999999999,30551.98802808907
Glass,Daniel,38,158.6,79.9,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,2323.0,veuf,5.0,0.64,2022-10-02,557.0,561.96,23066.28845141842
Reed,Janice,25,146.9,79.9,F,non,aucun,Occitanie,non,non,3683.0,célibataire,3.0,0.07,2025-06-07,581.0,584.946,500.0
Spencer,Rodney,33,168.6,68.0,H,non,aucun,Corse,oui,non,1422.0,veuf,1.0,0.92,2020-04-23,553.0,1209.91,500.0
Lee,Deanna,52,165.4,59.6,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,3357.0,divorcé,1.0,0.91,2020-03-29,514.0,474.99,18244.265756080065
Young,Kevin,32,175.6,86.5,H,non,bac+2,Occitanie,non,oui,2467.0,célibataire,3.0,0.93,2021-07-03,530.0,1003.6139999999999,16185.064244023328
Bailey,Johnny,64,178.5,90.0,F,non,bac,Hauts-de-France,non,non,1720.0,veuf,3.0,0.92,2024-08-21,581.0,772.5540000000001,500.0
Barr,Jillian,48,174.2,80.2,F,oui,bac+2,Hauts-de-France,oui,oui,1369.0,veuf,2.0,0.02,2022-06-12,577.0,954.274,4980.213631587762
Hines,Kelly,62,180.9,58.4,F,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,3499.0,divorcé,1.0,0.41,2020-06-10,421.0,705.006,2621.991170390659
Hayes,Dennis,57,168.3,53.4,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,2287.0,célibataire,2.0,0.01,2020-04-15,577.0,943.698,14917.002154526905
Terrell,John,48,193.19399999999996,57.1,F,oui,aucun,Île-de-France,non,oui,2726.0,célibataire,4.0,1.0,2023-09-15,576.0,820.5619999999999,12007.005961914414
Williams,James,57,177.9,68.4,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2572.0,veuf,4.0,0.12,2021-01-30,576.0,659.894,500.0
Jacobs,Matthew,50,166.9,93.1,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,4591.0,veuf,3.0,0.65,2020-10-16,538.0,403.35,23335.49676636848
Smith,Ryan,18,178.1,86.1,H,non,aucun,Bretagne,oui,oui,608.0,marié,3.0,0.88,2022-01-30,581.0,798.0960000000001,500.0
Chan,Alexandra,36,173.1,46.8,F,non,doctorat,Auvergne-Rhône-Alpes,non,non,1414.0,marié,3.0,0.23,2022-05-25,581.0,727.09,500.0
Gonzalez,Jody,73,167.3,69.0,H,oui,aucun,Hauts-de-France,oui,non,3046.0,célibataire,1.0,0.63,2020-05-29,553.0,781.2919999999999,500.0
Miller,Nathaniel,61,164.3,82.5,H,non,doctorat,Hauts-de-France,non,oui,3185.0,divorcé,5.0,0.27,2020-03-24,557.0,820.406,27523.765043023657
Johnson,Joshua,21,177.6,63.7,H,non,bac,Hauts-de-France,oui,oui,4034.0,divorcé,5.0,0.25,2021-02-04,557.0,703.878,2631.080774396934
Holmes,Matthew,37,155.2,89.3,H,non,master,Normandie,oui,oui,2070.0,divorcé,5.0,0.51,2020-07-07,803.0,739.762,11058.632095273046
Rogers,David,36,167.0,86.7,F,non,doctorat,Normandie,non,oui,3223.0,marié,0.0,0.66,2024-01-24,751.0,746.4480000000001,19516.454511962416
Brown,Michelle,29,180.6,65.9,H,oui,aucun,Hauts-de-France,oui,non,2368.0,veuf,4.0,0.37,2024-11-13,352.0,863.982,500.0
Love,David,48,168.1,87.4,F,non,bac,Normandie,oui,oui,1686.0,veuf,0.0,0.56,2023-03-10,486.0,1213.08,500.0
Smith,Willie,39,184.0,67.8,F,oui,master,Île-de-France,non,oui,656.0,célibataire,2.0,0.23,2020-09-23,577.0,621.65,14910.42674736496
Harrison,Juan,52,170.2,94.5,H,oui,master,Auvergne-Rhône-Alpes,oui,non,2598.0,divorcé,1.0,0.04,2025-05-04,553.0,971.86,1897.745189060438
Jones,Marissa,33,146.9,71.2,F,non,aucun,Bretagne,non,oui,2072.0,divorcé,3.0,0.03,2022-05-04,581.0,739.762,500.0
Braun,Paul,34,179.2,56.8,F,oui,master,Auvergne-Rhône-Alpes,non,oui,1973.0,divorcé,2.0,0.53,2024-08-18,766.0,666.8459999999999,16815.322371461785
Patel,Kathleen,23,164.1,49.0,H,oui,doctorat,Occitanie,non,oui,3103.0,marié,2.0,0.95,2021-06-21,577.0,916.7139999999999,38277.86419615981
Reynolds,Christine,38,183.2,78.5,F,non,aucun,Hauts-de-France,oui,non,2855.0,veuf,1.0,0.39,2022-05-27,548.0,862.2280000000001,500.0
Morales,Julie,18,169.9,84.0,H,oui,doctorat,Île-de-France,non,non,3148.0,veuf,1.0,0.39,2022-04-29,754.0,791.742,19354.689040026744
Powell,Heather,31,174.3,64.7,H,non,doctorat,Occitanie,non,oui,1962.0,divorcé,5.0,0.12,2025-02-05,557.0,758.444,33448.00488309777
Cisneros,Casey,40,158.3,79.7,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3992.0,marié,5.0,0.06,2022-06-29,557.0,752.284,16257.947402038808
Miller,Rachel,26,179.7,86.7,F,non,bac,Provence-Alpes-Côte d’Azur,non,oui,3645.0,divorcé,5.0,0.97,2023-12-16,557.0,932.592,3212.0712674130014
Wagner,Heather,21,180.8,39.3,F,non,bac+2,Bretagne,non,oui,2549.0,veuf,4.0,0.19,2021-07-26,576.0,911.418,19270.696548097803
Roberts,Christina,24,180.2,83.2,F,non,bac,Corse,non,oui,3160.0,célibataire,2.0,0.74,2023-12-10,722.0,1081.074,8655.723626350307
Schneider,Meagan,56,179.4,64.1,H,oui,bac+2,Hauts-de-France,non,non,592.0,marié,5.0,0.73,2024-12-19,374.0,752.496,500.0
Bryant,Natasha,65,170.3,47.6,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,2219.0,veuf,5.0,0.79,2023-08-06,656.0,761.454,6917.19408936927
Lara,Kyle,43,172.4,57.2,F,non,master,Occitanie,oui,oui,3600.0,divorcé,1.0,0.83,2024-10-06,531.0,771.216,16236.95900661788
Alvarado,Tina,64,170.2,65.2,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,3819.0,veuf,1.0,0.18,2023-09-15,553.0,756.37,32060.90344736834
Gibson,Troy,61,176.1,56.1,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,3962.0,veuf,0.0,0.78,2022-07-15,580.0,801.3539999999999,21275.117252567423
Johnson,Thomas,33,175.0,78.0,F,oui,master,Bretagne,oui,oui,2985.0,divorcé,2.0,0.65,2023-07-15,577.0,916.49,18833.236518612
Williams,Dana,53,160.7,61.1,H,oui,master,Occitanie,oui,oui,4682.0,divorcé,3.0,0.85,2023-03-06,846.0,762.46,28162.577196715654
Harvey,Richard,57,174.0,79.0,H,non,master,Auvergne-Rhône-Alpes,oui,non,1067.0,marié,4.0,0.96,2020-10-11,576.0,901.116,500.0
Byrd,Regina,38,167.6,58.2,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2031.0,divorcé,1.0,0.21,2023-04-05,553.0,806.004,500.0
Mccormick,John,45,161.0,63.7,F,oui,doctorat,Île-de-France,oui,non,3117.0,célibataire,3.0,0.68,2024-08-02,581.0,775.152,6603.535706612271
Miles,Karen,74,157.8,35.806,H,non,aucun,Occitanie,non,non,3657.0,divorcé,0.0,0.48,2023-08-23,721.0,850.76,500.0
Edwards,Sheri,33,164.4,64.0,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2019.0,marié,0.0,1.0,2022-08-09,763.0,598.666,4652.518842300937
Jones,Kimberly,71,163.6,46.1,F,non,master,Hauts-de-France,oui,oui,3307.0,divorcé,1.0,0.99,2023-08-12,553.0,682.9860000000001,5298.906752642442
Reese,Robert,61,153.2,87.3,F,oui,bac,Bretagne,non,oui,500.0,marié,5.0,0.89,2023-09-05,430.0,705.82,9475.221095705489
Savage,Sarah,33,169.6,99.2,H,oui,bac,Auvergne-Rhône-Alpes,non,oui,3090.0,marié,2.0,0.14,2021-07-31,508.0,725.34,25318.321346095523
Vazquez,Pamela,30,169.4,95.2,F,non,master,Corse,non,non,1644.0,célibataire,4.0,0.41,2024-12-14,576.0,610.58,500.0
Fowler,Sabrina,58,155.6,49.1,H,oui,aucun,Île-de-France,oui,oui,3861.0,veuf,1.0,0.51,2024-04-03,553.0,873.5959999999999,11085.79416369356
Nelson,Sarah,42,162.5,54.5,F,oui,bac,Hauts-de-France,non,oui,1201.0,marié,4.0,0.48,2020-01-26,576.0,971.76,14451.314157669694
Brown,Emily,46,184.1,74.9,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,1739.0,veuf,3.0,0.1,2022-12-29,333.0,928.4379999999999,500.0
Hall,Ronnie,19,163.0,94.4,H,non,aucun,Normandie,non,non,3196.0,divorcé,0.0,0.51,2020-06-02,580.0,740.0559999999998,500.0
Simpson,Miranda,38,159.2,73.6,H,non,bac+2,Bretagne,non,oui,2940.0,célibataire,4.0,0.76,2020-10-09,744.0,734.49,28058.797577534933
Reyes,Joe,63,154.6,66.8,F,oui,bac,Bretagne,oui,non,2454.0,veuf,0.0,0.97,2022-11-14,721.0,760.5060000000001,500.0
Fox,Gary,28,164.7,67.6,F,oui,bac+2,Bretagne,non,non,2824.0,marié,1.0,0.34,2024-05-06,553.0,989.1880000000001,3542.798050055929
Castaneda,Taylor,55,165.3,80.5,H,non,aucun,Hauts-de-France,non,non,2262.0,marié,1.0,0.8,2023-04-20,553.0,480.28200000000004,500.0
Brown,Tim,23,158.7,62.7,H,non,master,Provence-Alpes-Côte d’Azur,non,non,2672.0,veuf,0.0,0.37,2023-04-18,465.0,722.378,6092.632886191398
Baker,Andrew,24,177.0,35.806,F,non,aucun,Bretagne,non,non,517.0,divorcé,3.0,0.06,2025-01-12,581.0,789.466,500.0
Taylor,Jeremiah,54,146.9,103.2,F,oui,doctorat,Hauts-de-France,oui,non,1506.0,marié,5.0,0.83,2023-08-14,557.0,919.2360000000001,500.0
Serrano,Laura,26,193.19399999999996,48.1,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,3803.0,célibataire,3.0,0.81,2025-04-15,581.0,623.04,5447.512822257256
Benjamin,Thomas,63,165.0,77.1,H,oui,bac+2,Corse,non,oui,1803.0,marié,5.0,0.19,2020-10-24,557.0,790.462,6632.956761864
Morton,Rebecca,72,176.7,50.8,H,oui,doctorat,Occitanie,oui,oui,1930.0,marié,3.0,0.17,2023-01-29,581.0,979.3539999999999,20374.39103270054
Cummings,Marcus,66,160.5,73.3,F,oui,aucun,Occitanie,non,oui,3762.0,veuf,3.0,0.32,2022-04-05,581.0,359.37600000000003,14793.912515869875
Williams,Daniel,22,159.9,78.7,H,non,master,Bretagne,oui,non,2260.0,marié,1.0,0.28,2020-04-01,629.0,683.4359999999999,500.0
Taylor,Haley,48,166.0,72.5,H,non,doctorat,Occitanie,oui,oui,2681.0,marié,3.0,0.73,2021-04-29,581.0,1045.428,20519.04609579224
Phillips,Richard,31,183.2,74.9,H,non,bac+2,Corse,non,non,1705.0,veuf,3.0,0.16,2022-07-06,693.0,865.292,500.0
James,Robert,24,174.1,95.0,F,non,bac+2,Corse,non,non,2075.0,marié,2.0,0.77,2022-04-17,765.0,767.5999999999999,500.0
Rodriguez,Christopher,28,174.7,69.9,H,oui,bac,Hauts-de-France,non,non,1163.0,marié,2.0,0.29,2022-12-01,577.0,920.936,500.0
Thomas,Jennifer,49,166.8,70.2,F,oui,doctorat,Corse,oui,oui,4140.0,marié,0.0,0.1,2024-05-09,580.0,424.19,11417.12690625142
Campbell,Nathan,69,172.3,70.7,F,oui,bac,Bretagne,oui,non,1817.0,célibataire,2.0,0.56,2024-10-27,577.0,654.58,500.0
Mcmahon,Margaret,41,160.4,65.0,H,non,aucun,Normandie,non,non,3750.0,célibataire,4.0,0.26,2023-10-03,307.0,876.0459999999999,500.0
Young,Frank,35,170.8,48.6,F,non,doctorat,Bretagne,oui,oui,2541.0,veuf,4.0,0.85,2020-03-16,576.0,955.692,13760.457854977982
Chandler,Judy,64,179.5,64.6,F,oui,doctorat,Normandie,oui,oui,3344.0,célibataire,3.0,0.38,2021-06-30,431.0,911.5260000000001,12483.472051435909
Harrison,Jennifer,72,172.0,45.3,F,oui,master,Corse,oui,oui,2209.0,célibataire,1.0,0.34,2021-11-06,717.0,845.42,3810.979568097087
Petty,Joel,20,181.7,86.8,F,oui,master,Hauts-de-France,non,oui,2242.0,marié,0.0,0.95,2022-12-15,327.0,904.382,14911.12920217478
Taylor,David,26,174.3,52.0,F,non,aucun,Bretagne,non,non,3257.0,divorcé,3.0,0.24,2025-01-31,581.0,881.0139999999999,500.0
Wells,Mary,47,163.8,90.8,H,non,master,Bretagne,non,oui,4254.0,marié,4.0,0.26,2020-04-02,576.0,721.1,33124.20584400077
Peterson,Maureen,22,168.6,68.0,F,oui,bac+2,Normandie,oui,oui,1288.0,veuf,3.0,0.87,2023-07-10,657.0,802.3100000000001,2338.112333817608
Allen,Melvin,53,182.7,71.2,F,non,bac,Bretagne,non,non,2741.0,célibataire,0.0,0.49,2020-06-01,580.0,859.3399999999999,500.0
Cochran,Corey,34,161.6,95.5,F,non,bac,Bretagne,non,oui,2370.0,célibataire,1.0,0.35,2024-06-22,553.0,992.31,13022.596394805232
Hernandez,Ryan,64,166.0,81.2,H,non,bac,Bretagne,oui,oui,1802.0,marié,1.0,0.43,2020-08-02,553.0,1061.58,500.0
Mendoza,Roberto,63,166.2,60.2,F,oui,master,Occitanie,non,oui,2803.0,divorcé,0.0,0.87,2023-07-25,377.0,688.716,26211.07905727228
Cole,Sarah,43,173.3,87.1,F,oui,master,Corse,oui,oui,3614.0,divorcé,5.0,0.65,2020-08-25,557.0,781.062,8715.565851233325
Payne,Philip,69,175.1,69.0,F,non,master,Hauts-de-France,non,non,3593.0,célibataire,1.0,0.07,2024-08-12,599.0,810.946,500.0
Howard,Victoria,55,173.0,87.0,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,4441.0,veuf,3.0,0.75,2024-05-02,581.0,969.318,39496.12476379096
Kennedy,Jason,60,173.4,70.9,H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,2241.0,marié,2.0,0.4,2021-09-11,577.0,904.3820000000002,14843.576487645369
Smith,Heather,41,168.5,71.0,H,oui,bac+2,Bretagne,non,oui,4452.0,divorcé,4.0,0.89,2023-10-24,528.0,982.84,38910.598349831525
Shaw,Nicholas,48,169.1,88.7,H,oui,bac,Hauts-de-France,oui,non,3823.0,célibataire,3.0,0.49,2020-01-07,581.0,662.0379999999999,500.0
Becker,Pamela,51,174.0,73.5,H,non,bac,Corse,non,non,1797.0,veuf,2.0,0.66,2020-03-28,846.0,591.59,500.0
Arroyo,Margaret,36,184.5,75.5,F,oui,bac,Bretagne,oui,oui,4844.0,veuf,5.0,0.38,2021-12-16,557.0,851.5380000000001,18176.534342321604
Zamora,Jenna,25,157.4,55.4,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,2815.0,marié,0.0,0.59,2021-12-23,685.0,742.512,18651.153683592755
Hamilton,Greg,27,174.2,42.8,F,non,bac+2,Occitanie,non,oui,2119.0,célibataire,3.0,0.21,2022-05-04,699.0,1139.118,21910.2315069594
Vance,Michael,28,169.3,69.3,F,oui,bac+2,Normandie,oui,non,3718.0,veuf,1.0,0.24,2022-12-23,553.0,656.336,500.0
Martin,Tammy,39,159.5,75.7,F,non,bac,Auvergne-Rhône-Alpes,non,non,2487.0,veuf,0.0,0.32,2022-05-26,351.0,772.674,500.0
Rodriguez,Kevin,55,190.5,42.7,H,non,doctorat,Hauts-de-France,non,oui,1359.0,marié,2.0,0.63,2024-10-05,617.0,864.874,12947.553249587192
Bray,Victoria,31,158.4,46.1,F,oui,bac+2,Normandie,oui,oui,2749.0,divorcé,1.0,0.94,2023-01-18,469.0,644.3820000000001,15837.393391736972
